_id,severity,@timestamp,host,@version,message,facility,syslog-tag,timestamp,tags
{'$oid': '5a0d05a4dabef65300018912'},info,"""2017-11-16T03:27:32.407Z""",ustcnyx,1, [PYTHON] Can't call the metric handler function for [tcpext_tcploss_percentage] in the python module [netstats].#012,daemon,/usr/sbin/gmond[2390]:,2017-11-15T22:27:32.165463-05:00,"['_grokparsefailure', '_dateparsefailure']"
{'$oid': '5a0d05b3dabef67d60018913'},info,"""2017-11-16T03:27:47.185Z""",ustcnyx,1, [PYTHON] Can't call the metric handler function for [tcp_attemptfails] in the python module [netstats].#012,daemon,/usr/sbin/gmond[2390]:,2017-11-15T22:27:47.171387-05:00,"['_grokparsefailure', '_dateparsefailure']"
{'$oid': '5a0d05b3dabef67d60018914'},info,"""2017-11-16T03:27:47.185Z""",ustcnyx,1, [PYTHON] Can't call the metric handler function for [tcpext_listendrops] in the python module [netstats].#012,daemon,/usr/sbin/gmond[2390]:,2017-11-15T22:27:47.170742-05:00,"['_grokparsefailure', '_dateparsefailure']"
{'$oid': '5a0d05b3dabef67d60018915'},info,"""2017-11-16T03:27:47.185Z""",ustcnyx,1, [PYTHON] Can't call the metric handler function for [udp_inerrors] in the python module [netstats].#012,daemon,/usr/sbin/gmond[2390]:,2017-11-15T22:27:47.170115-05:00,"['_grokparsefailure', '_dateparsefailure']"
{'$oid': '5a0d05b3dabef67d60018916'},info,"""2017-11-16T03:27:47.185Z""",ustcnyx,1, [PYTHON] Can't call the metric handler function for [udp_outdatagrams] in the python module [netstats].#012,daemon,/usr/sbin/gmond[2390]:,2017-11-15T22:27:47.169479-05:00,"['_grokparsefailure', '_dateparsefailure']"
{'$oid': '5a0d05b3dabef67d60018917'},info,"""2017-11-16T03:27:47.186Z""",ustcnyx,1, [PYTHON] Can't call the metric handler function for [udp_indatagrams] in the python module [netstats].#012,daemon,/usr/sbin/gmond[2390]:,2017-11-15T22:27:47.168808-05:00,"['_grokparsefailure', '_dateparsefailure']"
{'$oid': '5a0d05b3dabef67d60018918'},info,"""2017-11-16T03:27:47.186Z""",ustcnyx,1, [PYTHON] Can't call the metric handler function for [tcp_insegs] in the python module [netstats].#012,daemon,/usr/sbin/gmond[2390]:,2017-11-15T22:27:47.167951-05:00,"['_grokparsefailure', '_dateparsefailure']"
{'$oid': '5a0d05b3dabef67d60018919'},info,"""2017-11-16T03:27:47.186Z""",ustcnyx,1, [PYTHON] Can't call the metric handler function for [tcp_outsegs] in the python module [netstats].#012,daemon,/usr/sbin/gmond[2390]:,2017-11-15T22:27:47.167314-05:00,"['_grokparsefailure', '_dateparsefailure']"
{'$oid': '5a0d05b3dabef67d6001891a'},info,"""2017-11-16T03:27:47.186Z""",ustcnyx,1, [PYTHON] Can't call the metric handler function for [tcp_retrans_percentage] in the python module [netstats].#012,daemon,/usr/sbin/gmond[2390]:,2017-11-15T22:27:47.166652-05:00,"['_grokparsefailure', '_dateparsefailure']"
{'$oid': '5a0d05b3dabef67d6001891b'},info,"""2017-11-16T03:27:47.186Z""",ustcnyx,1, [PYTHON] Can't call the metric handler function for [tcpext_tcploss_percentage] in the python module [netstats].#012,daemon,/usr/sbin/gmond[2390]:,2017-11-15T22:27:47.165932-05:00,"['_grokparsefailure', '_dateparsefailure']"
